Binance Futures Report 
Coin 	BuyDate 	CloseDate 	BuyPrice 	SellPrice 	ProfitUSDT 	Profit 	ProfitAbs 	Lev 	Comment 	SellReason 	Status 	dBTC 	d24BTC 	dM24 	Pump1H 	Dump1H 	d3h 	d15m 	d5m 	d1m 	dBTC1m 	PriceBug 	Vd1m 	H. Vol 	D. Vol
CTK 	2022-08-30 19:44:41 	2022-08-30 19:44:42 	0.93930000 	0.94590000 	1.33 	33.1% 	0.66% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 14 Sys: 82  AppLatency: 0.1 sec  API Req: 759 / 2400   API Orders: 9 / 1200  PriceLag: 0.04% (LIT PriceLag: 0.07%) Latency: 478 / 478  Ping: 472 / 487 	Sell Price 	done 	-0.98 	-3.29 	-4.45 	1.61 	3.27 	5.04 	5.04 	3.75 	2.65 	0.72 	0 	2.03 	9.6 m 	110.5 m
1000XEC 	2022-08-29 11:00:11 	2022-08-29 11:00:21 	0.04391000 	0.04413000 	0.92 	11.5% 	0.46% 	25 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 6 Sys: 27  AppLatency: 0.0 sec  API Req: 367 / 2400   API Orders: 17 / 1200   Orders 10S: 14 / 300  PriceLag: 0.02% (AUDIO PriceLag: 0.02%) Latency: 7276 / 7276  Ping: 25 / 24 	Auto Price Down 	done 	0.22 	-0.05 	-1.37 	2.61 	0.25 	5.86 	2.41 	2.72 	2.7 	0.1 	2.48 	5.61 	23.3 m 	689.7 m
FIL 	2022-08-01 08:16:29 	2022-08-01 08:16:33 	10.26500000 	10.29600000 	0.52 	13.1% 	0.26% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 7 Sys: 53  AppLatency: 0.0 sec  API Req: 640 / 2400   API Orders: 13 / 1200   Orders 10S: 12 / 300  PriceLag: 0.04% (DGB PriceLag: 0.04%) Latency: 693 / 693  Ping: 10 / 13 	Auto Price Down 	done 	-0.18 	-1.29 	-0.86 	0.16 	5.22 	12.14 	3.35 	4.11 	3.01 	0.06 	2.84 	3.48 	100.0 m 	2620.2 m
ENJ 	2022-07-30 22:55:49 	2022-07-30 22:55:53 	0.65160000 	0.64970000 	-0.7 	-17.6% 	-0.35% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 6 Sys: 28  AppLatency: 0.0 sec  API Req: 924 / 2400   API Orders: 5 / 1200   Orders 10S: 3 / 300  PriceLag: 0.04% (CELO PriceLag: 0.05%) Latency: 297 / 297  Ping: 10 / 10 	StopLoss AutoActivated on price drop: BID = 0.6510 BidEMA: 0.6510 LastPrice = 0.6512 BuyPrice = 0.6516 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 0.6503 All 	done 	-1.61 	-0.4 	0.57 	0.16 	2.79 	9.59 	2.38 	2.09 	1.75 	0.19 	0.02 	0.81 	4.0 m 	65.3 m
RVN 	2022-07-30 03:16:05 	2022-07-30 03:16:14 	0.04058000 	0.04058000 	-0.12 	-3.0% 	-0.06% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 6 Sys: 24  AppLatency: 0.0 sec  API Req: 95 / 2400   API Orders: 1 / 1200  PriceLag: 0.04% (JASMY PriceLag: 0.05%) Latency: 202 / 202  Ping: 10 / 10 	Sell by FilterCheck:EMA(2sec, 1sec) = 0.09% < 0.3%  | EMA(3sec, 1sec) = 0.08% < 0.4%  | EMA(3sec, 1sec) = 0.08%  EMA(3sec, 1sec) = 0.08% 	done 	-0.27 	-0.11 	0.8 	5.78 	2.72 	10.73 	8.24 	4.75 	1.53 	0.1 	0 	1.48 	6.3 m 	207.8 m
NKN 	2022-07-15 11:47:35 	2022-07-15 11:47:37 	0.13586000 	0.13662000 	1 	25.0% 	0.5% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 5 Sys: 29  AppLatency: 0.0 sec  API Req: 658 / 2400   API Orders: 4 / 1200   Orders 10S: 3 / 300  PriceLag: 0.04% (JASMY PriceLag: 0.05%) Latency: 280 / 280  Ping: 10 / 10 	Auto Price Down 	done 	0.27 	2.7 	3.26 	51.47 	0.17 	52.34 	33.7 	5.55 	2.95 	0.32 	0 	49.57 	37.4 m 	92.9 m
1000SHIB 	2022-06-24 17:45:41 	2022-06-24 17:45:42 	0.01054500 	0.01061900 	1.32 	33.1% 	0.66% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 9 Sys: 57  AppLatency: 0.0 sec  API Req: 754 / 2400   API Orders: 1 / 1200  PriceLag: 0.05% (SRM PriceLag: 0.05%) Latency: 642 / 642  Ping: 13 / 16 	Sell Price 	done 	-0.92 	0.89 	1.97 	1.28 	2.39 	6.37 	1.72 	2.6 	1.98 	0.37 	0 	1.28 	26.2 m 	550.9 m
GALA 	2022-06-15 23:02:55 	2022-06-15 23:03:00 	0.06052000 	0.06070000 	0.51 	12.9% 	0.26% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 6 Sys: 28  AppLatency: 0.0 sec  API Req: 991 / 2400   API Orders: 10 / 1200   Orders 10S: 3 / 300  PriceLag: 0.03% (EOS PriceLag: 0.05%) Latency: 483 / 483  Ping: 10 / 10 	Auto Price Down 	done 	-0.84 	0.97 	4.63 	3.38 	0.36 	17.35 	1.67 	2.19 	1.66 	0.38 	0.39 	0.55 	27.6 m 	446.0 m
ATA 	2022-06-14 20:32:11 	2022-06-14 20:32:11 	0.17850000 	0.17970000 	1.26 	15.8% 	0.63% 	25 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 5 Sys: 15  AppLatency: 0.1 sec  API Req: 182 / 2400   API Orders: 2 / 1200  PriceLag: 0.02% (RSR PriceLag: 0.02%) Latency: 234 / 234  Ping: 10 / 11 	Sell Price 	done 	0.44 	0.56 	0.74 	2.59 	1.72 	22.92 	2.78 	3.31 	2.58 	0.15 	0 	0.74 	24.2 m 	167.8 m
SKL 	2022-06-14 17:12:34 	2022-06-14 17:12:39 	0.05779000 	0.05796000 	0.25 	12.7% 	0.25% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 5 Sys: 35  AppLatency: 0.0 sec  API Req: 651 / 2400   API Orders: 2 / 1200   Orders 10S: 1 / 300  PriceLag: 0.03% (CRV PriceLag: 0.07%) Latency: 329 / 329  Ping: 10 / 10 	Auto Price Down 	done 	-0.49 	-2.01 	0.09 	2.89 	1.54 	12.49 	3.61 	3.82 	2.23 	0.29 	0 	2.62 	12.8 m 	67.6 m
