Binance Report  From: 2022-07-05 
Coin 	BuyDate 	CloseDate 	ProfitUSDT 	ProfitAbs 	Lev 	Source 	ChannelName 	Comment 	SignalType 	SellReason 	Status 	dBTC 	d24BTC 	dMarket 	dM24 	bvsv 	dBTC5m 	Pump1H 	Dump1H 	d24h 	d3h 	d1h 	d15m 	d5m 	d1m 	dBTC1m 	PriceBug 	Vd1m 	H. Vol 	D. Vol
NEBL 	2022-07-29 15:39:33 	2022-07-29 16:36:16 	-0.09 	-2.57% 	1 	 	MoonShot: (strategy <SHOOT-1-1.3>) 	MoonShot: (strategy <SHOOT-1-1.3>)  CPU: Bot 4 Sys: 9  AppLatency: 0.0 sec  API Req: 153 / 1200   API Orders: 0 / 50  PriceLag: 0.00% (PYR PriceLag: 0.06%) Latency: 59 / 59  Ping: 10 / 10 	Emulator 	StopLoss AutoActivated on price drop: BID = 0.00000946 BidEMA: 0.00000946 LastPrice = 0.00000947 BuyPrice = 0.00000989 (strategy <SHOOT-1-1.3>); StopLoss fixed: 0.00000959 AllowedD 	done 	-0.45 	-0.85 	-0.24 	0.41 	0 	0.67 	3.22 	0.05 	21.23 	20.32 	7.83 	0.99 	7.45 	7.45 	0.14 	0 	10.13 	0.99 	7.75
BTCST 	2022-08-03 06:14:59 	2022-08-03 06:18:11 	0.12 	3.19% 	1 	 	MoonShot: (strategy <SHOOT-1-1.3>) 	MoonShot: (strategy <SHOOT-1-1.3>)  CPU: Bot 2 Sys: 7  AppLatency: 0.0 sec  API Req: 201 / 1200   API Orders: 0 / 50  PriceLag: 0.02% (EOS PriceLag: 0.10%) Latency: 77 / 77  Ping: 11 / 11 	Emulator 	Sell Price 	done 	0.27 	-0.31 	0.25 	0.56 	0.08 	0.29 	0.11 	11.23 	25.99 	15.19 	12.76 	4.55 	6.42 	3.95 	0.12 	0 	8.71 	7.3 	65.8
BTCST 	2022-08-01 10:24:18 	2022-08-01 10:25:08 	-0.09 	-2.61% 	1 	 	MoonShot: (strategy <SHOOT-1-1.3>) 	MoonShot: (strategy <SHOOT-1-1.3>)  CPU: Bot 11 Sys: 17  AppLatency: 0.0 sec  API Req: 84 / 1200   API Orders: 0 / 50  PriceLag: 0.00% (BNB PriceLag: 0.00%) Latency: 148 / 148  Ping: 11 / 11 	Emulator 	StopLoss AutoActivated on price drop: BID = 0.00098310 BidEMA: 0.00098310 LastPrice = 0.00098875 BuyPrice = 0.00101300 (strategy <SHOOT-1-1.3>); StopLoss fixed: 0.00098261 AllowedD 	done 	-0.13 	-1.86 	-0.35 	-0.1 	0.09 	0.41 	0 	6.1 	83.08 	11.58 	6.82 	3.85 	8.66 	7.7 	0.06 	0 	4.98 	0.63 	226.2
SSV 	2022-07-28 06:26:09 	2022-07-28 06:33:11 	0.09 	2.55% 	1 	 	MoonShot: (strategy <SHOOT-1-1.3>) 	MoonShot: (strategy <SHOOT-1-1.3>)  CPU: Bot 5 Sys: 11  AppLatency: 0.0 sec  API Req: 48 / 1200   API Orders: 0 / 50  PriceLag: 0.00% (MATIC PriceLag: 0.01%) Latency: 23 / 23  Ping: 10 / 10 	Emulator 	Sell Price 	done 	0.96 	6.62 	-0.21 	-0.6 	0.09 	0.28 	1.71 	6.51 	47.89 	26.28 	11.95 	6.08 	4.19 	3.26 	0.11 	0 	11.56 	7.45 	46.5
MDA 	2022-08-06 01:21:01 	2022-08-06 01:54:30 	-0.09 	-2.53% 	1 	 	MoonShot: (strategy <SHOOT-1-1.3>) 	MoonShot: (strategy <SHOOT-1-1.3>)  CPU: Bot 31 Sys: 40  AppLatency: 0.0 sec  API Req: 4 / 1200   API Orders: 0 / 50  PriceLag: 0.00% (DCR PriceLag: 0.02%) Latency: 27 / 27  Ping: 12 / 12 	Emulator 	StopLoss AutoActivated on price drop: BID = 0.00000444 BidEMA: 0.00000444 LastPrice = 0.00000445 BuyPrice = 0.00000461 (strategy <SHOOT-1-1.3>); StopLoss fixed: 0.00000447 AllowedD 	done 	0.31 	0.83 	-0.06 	0.3 	0.1 	0.24 	0.42 	2.6 	12.15 	11.3 	3.61 	1.49 	2.83 	2.83 	0.14 	0 	45.17 	0.45 	12.9
NEBL 	2022-07-29 18:04:03 	2022-07-29 19:34:04 	-0.09 	-2.55% 	1 	 	MoonShot: (strategy <SHOOT-1-1.3>) 	MoonShot: (strategy <SHOOT-1-1.3>)  CPU: Bot 7 Sys: 22  AppLatency: 0.0 sec  API Req: 22 / 1200   API Orders: 0 / 50  PriceLag: 0.00% (ETC PriceLag: 0.03%) Latency: 44 / 44  Ping: 10 / 10 	Emulator 	StopLoss AutoActivated on price drop: BID = 0.00000970 BidEMA: 0.00000970 LastPrice = 0.00000978 BuyPrice = 0.00001000 (strategy <SHOOT-1-1.3>); StopLoss fixed: 0.00000970 AllowedD 	done 	-0.26 	0.66 	-0.17 	0.99 	0.1 	0.73 	6.93 	1.11 	23.9 	16.74 	8.86 	2.94 	3.13 	3.13 	0.1 	0 	0.04 	0.92 	10.7
SNM 	2022-08-11 08:51:25 	2022-08-11 09:26:28 	0.09 	2.43% 	1 	 	MoonShot: (strategy <SHOOT-1-1.3>) 	MoonShot: (strategy <SHOOT-1-1.3>)  CPU: Bot 3 Sys: 11  AppLatency: 0.0 sec  API Req: 93 / 1200   API Orders: 0 / 50  PriceLag: 0.00% (WAVES PriceLag: 0.02%) Latency: 25 / 25  Ping: 11 / 10 	Emulator 	Sell Price 	done 	0.49 	4.05 	-0.29 	-0.59 	0.11 	0.31 	0.1 	6.56 	20.76 	6.78 	5.08 	2.78 	2.98 	2.56 	0.07 	0 	4.96 	1.38 	27.7
BOND 	2022-07-27 18:20:57 	2022-07-27 18:21:09 	-0.05 	-1.4% 	1 	 	MoonShot: (strategy <SHOOT-1-1.3>) 	MoonShot: (strategy <SHOOT-1-1.3>)  CPU: Bot 5 Sys: 7  AppLatency: 0.0 sec  API Req: 156 / 1200   API Orders: 0 / 50  PriceLag: 0.00% (ETH PriceLag: 0.00%) Latency: 50 / 50  Ping: 10 / 10 	Emulator 	StopLoss AutoActivated on price drop: BID = 0.00085440 BidEMA: 0.00085440 LastPrice = 0.00085670 BuyPrice = 0.00086600 (strategy <SHOOT-1-1.3>); StopLoss fixed: 0.00085734 AllowedD 	done 	0.12 	1.57 	-0.13 	0.49 	0.13 	0.22 	5.32 	1.42 	15.05 	7.01 	6.85 	3.23 	3.68 	2.32 	0.08 	0 	4.81 	0.53 	46.9
SNM 	2022-08-03 18:11:01 	2022-08-03 18:26:59 	0.09 	2.44% 	1 	 	MoonShot: (strategy <SHOOT-1-1.3>) 	MoonShot: (strategy <SHOOT-1-1.3>)  CPU: Bot 5 Sys: 11  AppLatency: 0.0 sec  API Req: 180 / 1200   API Orders: 0 / 50  PriceLag: 0.00% (OCEAN PriceLag: 0.06%) Latency: 104 / 104  Ping: 10 / 10 	Emulator 	Sell Price 	done 	0.08 	1.13 	-0.08 	0.6 	0.16 	0.37 	2.25 	5.97 	46.13 	22.82 	11.44 	3.53 	5.88 	5.59 	0.08 	0 	3.08 	10.5 	123.0
DREP 	2022-08-05 13:24:07 	2022-08-05 14:09:49 	0.06 	1.98% 	1 	 	MoonShot: (strategy <SHOOT-1-1.3>) 	MoonShot: (strategy <SHOOT-1-1.3>)  CPU: Bot 12 Sys: 16  AppLatency: 0.0 sec  API Req: 26 / 1200   API Orders: 0 / 50  PriceLag: 0.00% (UNI PriceLag: 0.01%) Latency: 59 / 59  Ping: 10 / 10 	Emulator 	Sell Price 	done 	0.05 	1.3 	0.01 	0.67 	0.18 	0.13 	0.31 	3.94 	8.81 	5.66 	4.42 	2.33 	3.19 	2.97 	0.06 	0 	59.43 	1.23 	16.1
